#Phys. Rev. B 72  035127 (2005)
16.7861 0.308771
16.8999 0.402363
17.0137 0.464459
17.0863 0.621367
17.1279 0.747024
17.1799 0.904096
17.2318 1.04542
17.2631 1.2184
17.3047 1.3913
17.3154 1.56445
17.3366 1.87924
17.3369 2.05247
17.3478 2.41458
17.3587 2.72946
17.3694 2.9341
17.3697 3.09158
17.3806 3.4222
17.3809 3.59543
17.3812 3.7844
17.3815 3.95763
17.3924 4.2725
17.3927 4.46147
17.3929 4.60321
17.4036 4.80785
17.4039 4.96532
17.4042 5.1543
17.4045 5.32752
17.4158 5.86287
17.478 5.98836
17.4877 5.62608
17.5179 5.12191
17.5279 4.9486
17.5482 4.74371
17.5787 4.46001
17.5884 4.08198
17.597 3.07404
17.6059 2.22358
17.6154 1.75106
17.6653 0.679801
17.7264 0.159635
17.7882 0.0489118
18.0156 0.0628692
18.2223 0.0612415
18.4704 0.0750361
18.7909 0.104009
19.1424 0.164233
19.2354 0.163501
19.4628 0.16171
19.5662 0.176644
19.804 0.206268
20.1245 0.282484

